numero_cde,date,sku,description,quantite,entrepot_destination
MTX-000391,02/11/2025,SKU-30022,Jean coupe droite,15,OMG-MAR
MTX-000701,20/05/2025,SKU-30030,Robe ete,14,OMG-MAR
MTX-001354,2026-06-02,SKU-30024,Chaussettes x3,35,OMG-LIL
MTX-000731,12/03/2026,SKU-30027,Short de sport,5,OMG-LIL
MTX-000617,17/03/2025,SKU-30021,T-shirt coton uni,38,OMG-MAR
MTX-000060,02/04/2026,SKU-30030,Robe ete,3,OMG-MAR
MTX-001053,2025-12-10,SKU-30029,Casquette coton,13,OMG-LYO
MTX-000988,2026-02-18,SKU-30030,Robe ete,10,OMG-LIL
MTX-000499,2025-12-10,SKU-30022,Jean coupe droite,10,OMG-LIL
MTX-001213,09/04/2025,SKU-30029,Casquette coton,16,OMG-MAR
MTX-001090,15-10-2025,SKU-30027,Short de sport,16,OMG-LYO
MTX-000890,2025-01-23,SKU-30024,Chaussettes x3,27,OMG-LYO
MTX-000305,2025-10-01,SKU-30021,T-shirt coton uni,25,OMG-LYO
MTX-000465,15-01-2026,SKU-30029,Casquette coton,29,OMG-LYO
MTX-000227,03-05-2026,SKU-30029,Casquette coton,24,OMG-MAR
MTX-001277,18-06-2025,SKU-30027,Short de sport,7,OMG-LYO
MTX-000514,2025-05-21,SKU-30026,Chemise popeline,8,OMG-LYO
MTX-000265,08/02/2025,SKU-30025,Pull col rond,18,OMG-LYO
MTX-000118,14-04-2025,SKU-30028,Doudoune legere,31,OMG-LIL
MTX-001263,17-08-2025,SKU-30026,Chemise popeline,2,OMG-MAR
MTX-000624,24-04-2025,SKU-30025,Pull col rond,24,OMG-MAR
MTX-000520,2025-09-11,SKU-30022,Jean coupe droite,34,OMG-MAR
MTX-001191,20-01-2026,SKU-30023,Veste softshell,27,OMG-MAR
MTX-000319,14/08/2025,SKU-30027,Short de sport,26,OMG-LYO
MTX-000223,24/04/2026,SKU-30025,Pull col rond,6,OMG-MAR
MTX-000680,19/10/2025,SKU-30027,Short de sport,22,OMG-LYO
MTX-000096,31-07-2025,SKU-30028,Doudoune legere,27,OMG-LYO
MTX-000332,02-04-2025,SKU-30030,Robe ete,11,OMG-MAR
MTX-000955,2025-11-14,SKU-30028,Doudoune legere,6,OMG-MAR
MTX-001059,16/01/2025,SKU-30025,Pull col rond,40,OMG-LYO
MTX-000807,31-08-2025,SKU-30023,Veste softshell,15,OMG-LIL
MTX-001286,04/09/2025,SKU-30022,Jean coupe droite,13,OMG-MAR
MTX-000868,2025-06-16,SKU-30030,Robe ete,33,OMG-LIL
MTX-000248,01/01/2025,SKU-30021,T-shirt coton uni,10,OMG-LIL
MTX-000264,13-06-2026,SKU-30027,Short de sport,22,OMG-MAR
MTX-000724,07/01/2025,SKU-30025,Pull col rond,32,OMG-MAR
MTX-001275,09/02/2026,SKU-30023,Veste softshell,37,OMG-LYO
MTX-001064,10-10-2025,SKU-30025,Pull col rond,14,OMG-MAR
MTX-000083,2025-06-18,SKU-30026,Chemise popeline,7,OMG-LIL
MTX-001368,08/08/2025,SKU-30021,T-shirt coton uni,18,OMG-MAR
MTX-001033,01-12-2025,SKU-30028,Doudoune legere,20,OMG-LIL
MTX-000789,01-03-2026,SKU-30021,T-shirt coton uni,35,OMG-MAR
MTX-000044,23/09/2025,SKU-30028,Doudoune legere,7,OMG-MAR
MTX-001077,06/03/2026,SKU-30028,Doudoune legere,6,OMG-LIL
MTX-000704,2026-05-30,SKU-30023,Veste softshell,20,OMG-LYO
MTX-000628,05/07/2025,SKU-30027,Short de sport,14,OMG-LYO
MTX-000815,2026-04-07,SKU-30021,T-shirt coton uni,2,OMG-LYO
MTX-001253,04-06-2026,SKU-30029,Casquette coton,37,OMG-LYO
MTX-000711,2025-07-27,SKU-30027,Short de sport,30,OMG-MAR
MTX-000520,2025-09-11,SKU-30024,Chaussettes x3,19,OMG-MAR
MTX-001263,17/08/2025,SKU-30026,Chemise popeline,16,OMG-MAR
MTX-001091,31-08-2025,SKU-30025,Pull col rond,36,OMG-LYO
MTX-000811,2026-02-16,SKU-30021,T-shirt coton uni,16,OMG-LIL
MTX-000077,21-01-2026,SKU-30024,Chaussettes x3,40,OMG-MAR
MTX-001096,08-03-2026,SKU-30030,Robe ete,30,OMG-LIL
MTX-000979,2026-07-15,SKU-30027,Short de sport,32,OMG-LIL
MTX-001213,09-04-2025,SKU-30024,Chaussettes x3,32,OMG-MAR
MTX-000990,06/06/2025,SKU-30024,Chaussettes x3,23,OMG-LYO
MTX-000525,23/10/2025,SKU-30026,Chemise popeline,4,OMG-LIL
MTX-000903,2025-04-05,SKU-30022,Jean coupe droite,3,OMG-MAR
MTX-000463,06/10/2025,SKU-30029,Casquette coton,22,OMG-MAR
MTX-000988,2026-02-18,SKU-30030,Robe ete,23,OMG-LIL
MTX-000384,10/03/2026,SKU-30027,Short de sport,7,OMG-LYO
MTX-000890,23-01-2025,SKU-30027,Short de sport,29,OMG-LYO
MTX-000320,28/02/2026,SKU-30025,Pull col rond,24,OMG-LIL
MTX-000127,2025-08-21,SKU-30024,Chaussettes x3,8,OMG-LIL
MTX-000096,2025-07-31,SKU-30029,Casquette coton,8,OMG-LYO
MTX-001137,24-04-2025,SKU-30028,Doudoune legere,33,OMG-LYO
MTX-000642,21/09/2025,SKU-30027,Short de sport,35,OMG-LIL
MTX-001394,27-07-2026,SKU-30024,Chaussettes x3,19,OMG-MAR
MTX-000365,12-05-2026,SKU-30024,Chaussettes x3,6,OMG-MAR
MTX-000945,05-02-2025,SKU-30021,T-shirt coton uni,27,OMG-MAR
MTX-001395,17-06-2026,SKU-30028,Doudoune legere,23,OMG-LIL
MTX-001121,02-11-2025,SKU-30027,Short de sport,7,OMG-MAR
MTX-000742,2025-01-11,SKU-30022,Jean coupe droite,35,OMG-MAR
MTX-001287,18/07/2026,SKU-30027,Short de sport,18,OMG-LYO
MTX-000615,08-09-2025,SKU-30029,Casquette coton,30,OMG-LYO
MTX-000259,08-03-2025,SKU-30024,Chaussettes x3,36,OMG-LYO
MTX-001047,2025-02-26,SKU-30024,Chaussettes x3,37,OMG-LIL
MTX-000195,2026-05-18,SKU-30021,T-shirt coton uni,7,OMG-MAR
MTX-000131,23-04-2026,SKU-30023,Veste softshell,40,OMG-LIL
MTX-000890,23/01/2025,SKU-30021,T-shirt coton uni,36,OMG-LYO
MTX-001386,2025-05-05,SKU-30023,Veste softshell,10,OMG-LIL
MTX-000869,2026-05-28,SKU-30026,Chemise popeline,16,OMG-LIL
MTX-001235,17-06-2025,SKU-30028,Doudoune legere,18,OMG-MAR
MTX-001213,2025-04-09,SKU-30024,Chaussettes x3,27,OMG-MAR
MTX-000359,11/05/2025,SKU-30030,Robe ete,26,OMG-LYO
MTX-001258,06/03/2026,SKU-30021,T-shirt coton uni,1,OMG-LIL
MTX-000889,27-09-2025,SKU-30030,Robe ete,27,OMG-LYO
MTX-001331,24-05-2025,SKU-30025,Pull col rond,16,OMG-LIL
MTX-000598,2026-03-12,SKU-30022,Jean coupe droite,13,OMG-LIL
MTX-000423,22/02/2026,SKU-30030,Robe ete,21,OMG-LIL
MTX-001137,2025-04-24,SKU-30023,Veste softshell,16,OMG-LYO
MTX-000599,04-04-2025,SKU-30028,Doudoune legere,6,OMG-LYO
MTX-000827,2025-02-12,SKU-30030,Robe ete,7,OMG-LIL
MTX-000667,2026-07-25,SKU-30028,Doudoune legere,2,OMG-MAR
MTX-000628,05/07/2025,SKU-30027,Short de sport,12,OMG-LYO
MTX-000330,26-03-2026,SKU-30027,Short de sport,25,OMG-LIL
MTX-000017,2025-05-01,SKU-30021,T-shirt coton uni,38,OMG-LIL
MTX-001061,2025-05-16,SKU-30026,Chemise popeline,2,OMG-MAR
MTX-001033,2025-12-01,SKU-30027,Short de sport,14,OMG-LIL
MTX-001139,17-05-2026,SKU-30024,Chaussettes x3,39,OMG-LIL
MTX-000105,27/05/2025,SKU-30022,Jean coupe droite,22,OMG-MAR
MTX-001367,05/06/2026,SKU-30030,Robe ete,27,OMG-MAR
MTX-001091,31/08/2025,SKU-30023,Veste softshell,21,OMG-LYO
MTX-000703,2025-04-19,SKU-30029,Casquette coton,23,OMG-LIL
MTX-000493,2026-07-07,SKU-30023,Veste softshell,16,OMG-LYO
MTX-000391,02/11/2025,SKU-30023,Veste softshell,22,OMG-MAR
MTX-000599,04/04/2025,SKU-30025,Pull col rond,14,OMG-LYO
MTX-000536,12-03-2025,SKU-30024,Chaussettes x3,8,OMG-MAR
MTX-000995,29-07-2026,SKU-30030,Robe ete,27,OMG-LYO
MTX-001060,2025-09-26,SKU-30028,Doudoune legere,35,OMG-LIL
MTX-000504,2025-10-17,SKU-30021,T-shirt coton uni,10,OMG-LYO
MTX-000780,30/07/2026,SKU-30024,Chaussettes x3,33,OMG-MAR
MTX-000031,31/03/2025,SKU-30021,T-shirt coton uni,34,OMG-MAR
MTX-000369,25/05/2025,SKU-30028,Doudoune legere,1,OMG-LYO
MTX-000576,25/07/2026,SKU-30023,Veste softshell,12,OMG-MAR
MTX-000653,2025-05-18,SKU-30023,Veste softshell,14,OMG-LYO
MTX-001171,29-07-2025,SKU-30024,Chaussettes x3,34,OMG-MAR
MTX-001171,2025-07-29,SKU-30028,Doudoune legere,26,OMG-MAR
MTX-001368,08-08-2025,SKU-30030,Robe ete,28,OMG-MAR
MTX-000732,17/01/2025,SKU-30021,T-shirt coton uni,13,OMG-MAR
MTX-000698,02/08/2025,SKU-30028,Doudoune legere,33,OMG-LIL
MTX-000889,27-09-2025,SKU-30028,Doudoune legere,32,OMG-LYO
MTX-000540,2025-07-16,SKU-30029,Casquette coton,16,OMG-LYO
MTX-001090,15/10/2025,SKU-30024,Chaussettes x3,21,OMG-LYO
MTX-001236,02/06/2025,SKU-30021,T-shirt coton uni,15,OMG-LYO
MTX-000815,2026-04-07,SKU-30028,Doudoune legere,8,OMG-LYO
MTX-000379,2025-01-15,SKU-30029,Casquette coton,25,OMG-LYO
MTX-000956,30-05-2025,SKU-30028,Doudoune legere,24,OMG-MAR
MTX-000260,05-01-2026,SKU-30023,Veste softshell,8,OMG-LYO
MTX-000499,10-12-2025,SKU-30027,Short de sport,9,OMG-LIL
MTX-000882,01-04-2025,SKU-30024,Chaussettes x3,5,OMG-MAR
MTX-000517,2025-03-08,SKU-30022,Jean coupe droite,11,OMG-MAR
MTX-001243,24-03-2026,SKU-30022,Jean coupe droite,10,OMG-MAR
MTX-000701,2025-05-20,SKU-30026,Chemise popeline,8,OMG-MAR
MTX-000068,29-04-2025,SKU-30023,Veste softshell,33,OMG-MAR
MTX-000985,16-03-2026,SKU-30024,Chaussettes x3,5,OMG-LYO
MTX-000032,14/07/2026,SKU-30026,Chemise popeline,26,OMG-LYO
MTX-000158,2025-04-27,SKU-30028,Doudoune legere,8,OMG-MAR
MTX-001029,03-05-2026,SKU-30026,Chemise popeline,24,OMG-LIL
MTX-000789,01-03-2026,SKU-30024,Chaussettes x3,39,OMG-MAR
MTX-000941,07/05/2026,SKU-30030,Robe ete,16,OMG-LYO
MTX-000081,2026-05-19,SKU-30025,Pull col rond,32,OMG-LYO
MTX-000131,23/04/2026,SKU-30030,Robe ete,10,OMG-LIL
MTX-001128,29-10-2025,SKU-30029,Casquette coton,32,OMG-MAR
MTX-000211,2025-07-13,SKU-30024,Chaussettes x3,26,OMG-LYO
MTX-001247,2026-05-01,SKU-30030,Robe ete,36,OMG-LYO
MTX-000930,2026-04-06,SKU-30026,Chemise popeline,4,OMG-LIL
MTX-000807,2025-08-31,SKU-30029,Casquette coton,7,OMG-LIL
MTX-000778,06-12-2025,SKU-30028,Doudoune legere,40,OMG-MAR
MTX-000850,30-11-2025,SKU-30030,Robe ete,24,OMG-LYO
MTX-000153,15-04-2025,SKU-30025,Pull col rond,13,OMG-LIL
MTX-000653,18-05-2025,SKU-30027,Short de sport,11,OMG-LYO
MTX-000227,2026-05-03,SKU-30030,Robe ete,11,OMG-MAR
MTX-001258,2026-03-06,SKU-30030,Robe ete,7,OMG-LIL
MTX-000972,21-12-2025,SKU-30027,Short de sport,39,OMG-MAR
MTX-001023,01/09/2025,SKU-30025,Pull col rond,32,OMG-LIL
MTX-000868,16-06-2025,SKU-30027,Short de sport,6,OMG-LIL
MTX-000019,2026-06-09,SKU-30024,Chaussettes x3,38,OMG-LYO
MTX-000875,2025-02-27,SKU-30028,Doudoune legere,27,OMG-LYO
MTX-000905,02/01/2026,SKU-30029,Casquette coton,31,OMG-LIL
MTX-000956,30-05-2025,SKU-30024,Chaussettes x3,12,OMG-MAR
MTX-000390,2026-04-13,SKU-30026,Chemise popeline,35,OMG-MAR
MTX-000475,2025-08-10,SKU-30028,Doudoune legere,3,OMG-LIL
MTX-000385,01/10/2025,SKU-30026,Chemise popeline,39,OMG-LIL
MTX-001240,19/01/2025,SKU-30022,Jean coupe droite,21,OMG-MAR
MTX-001270,2026-05-01,SKU-30028,Doudoune legere,6,OMG-LIL
MTX-000309,25-06-2025,SKU-30030,Robe ete,35,OMG-LIL
MTX-000263,2025-08-11,SKU-30027,Short de sport,32,OMG-LYO
MTX-000693,20/09/2025,SKU-30026,Chemise popeline,26,OMG-LIL
MTX-000905,02/01/2026,SKU-30023,Veste softshell,11,OMG-LIL
MTX-000964,06-02-2026,SKU-30023,Veste softshell,23,OMG-MAR
MTX-000072,2025-01-23,SKU-30025,Pull col rond,23,OMG-LIL
MTX-000686,07/07/2025,SKU-30027,Short de sport,2,OMG-MAR
MTX-000158,27/04/2025,SKU-30021,T-shirt coton uni,30,OMG-MAR
MTX-000990,2025-06-06,SKU-30021,T-shirt coton uni,9,OMG-LYO
MTX-000634,18/10/2025,SKU-30028,Doudoune legere,18,OMG-MAR
MTX-001239,07/02/2026,SKU-30026,Chemise popeline,30,OMG-LYO
MTX-000197,28-09-2025,SKU-30028,Doudoune legere,7,OMG-LYO
MTX-001206,03/01/2026,SKU-30026,Chemise popeline,8,OMG-LYO
MTX-001236,02/06/2025,SKU-30022,Jean coupe droite,9,OMG-LYO
MTX-000154,17/05/2025,SKU-30027,Short de sport,33,OMG-LYO
MTX-001113,30-04-2025,SKU-30027,Short de sport,12,OMG-MAR
MTX-001253,04-06-2026,SKU-30029,Casquette coton,37,OMG-LYO
MTX-001354,02/06/2026,SKU-30021,T-shirt coton uni,2,OMG-LIL
MTX-001236,2025-06-02,SKU-30022,Jean coupe droite,38,OMG-LYO
MTX-000918,01/04/2026,SKU-30027,Short de sport,27,OMG-LYO
MTX-000110,2025-07-04,SKU-30028,Doudoune legere,13,OMG-MAR
MTX-001316,2026-04-25,SKU-30028,Doudoune legere,29,OMG-MAR
MTX-000525,2025-10-23,SKU-30026,Chemise popeline,27,OMG-LIL
MTX-000604,20-02-2025,SKU-30030,Robe ete,7,OMG-LIL
MTX-000639,18/04/2025,SKU-30021,T-shirt coton uni,31,OMG-MAR
MTX-000244,05-05-2026,SKU-30021,T-shirt coton uni,25,OMG-LYO
MTX-000213,09-05-2026,SKU-30022,Jean coupe droite,35,OMG-LIL
MTX-000031,2025-03-31,SKU-30029,Casquette coton,13,OMG-MAR
MTX-000445,29-03-2025,SKU-30023,Veste softshell,34,OMG-LIL
MTX-000069,12/01/2025,SKU-30026,Chemise popeline,40,OMG-LIL
MTX-000642,2025-09-21,SKU-30030,Robe ete,3,OMG-LIL
MTX-000688,20-02-2025,SKU-30024,Chaussettes x3,17,OMG-MAR
MTX-001377,2025-03-17,SKU-30030,Robe ete,12,OMG-LYO
MTX-000985,16/03/2026,SKU-30028,Doudoune legere,40,OMG-LYO
MTX-000862,19-06-2025,SKU-30025,Pull col rond,18,OMG-MAR
MTX-001113,30-04-2025,SKU-30027,Short de sport,2,OMG-MAR
MTX-001357,16/08/2025,SKU-30022,Jean coupe droite,10,OMG-MAR
MTX-000150,06-01-2026,SKU-30021,T-shirt coton uni,6,OMG-LIL
MTX-000943,20-09-2025,SKU-30021,T-shirt coton uni,12,OMG-LYO
MTX-001347,31/01/2025,SKU-30029,Casquette coton,15,OMG-LYO
MTX-000448,25/05/2026,SKU-30028,Doudoune legere,6,OMG-LYO
MTX-000568,08-06-2026,SKU-30027,Short de sport,8,OMG-LIL
MTX-000701,20/05/2025,SKU-30023,Veste softshell,6,OMG-MAR
MTX-000954,15/06/2026,SKU-30027,Short de sport,27,OMG-LYO
MTX-000342,2025-09-20,SKU-30022,Jean coupe droite,10,OMG-LIL
MTX-000901,05/01/2025,SKU-30029,Casquette coton,32,OMG-LIL
MTX-001046,14-06-2026,SKU-30022,Jean coupe droite,30,OMG-LIL
MTX-000013,24-03-2026,SKU-30027,Short de sport,23,OMG-MAR
MTX-000688,20-02-2025,SKU-30022,Jean coupe droite,19,OMG-MAR
MTX-000710,06/01/2026,SKU-30021,T-shirt coton uni,33,OMG-LIL
MTX-000650,18/06/2025,SKU-30026,Chemise popeline,5,OMG-MAR
MTX-000692,20/01/2026,SKU-30021,T-shirt coton uni,22,OMG-LYO
MTX-001090,2025-10-15,SKU-30028,Doudoune legere,24,OMG-LYO
MTX-000683,14-10-2025,SKU-30026,Chemise popeline,2,OMG-LYO
MTX-000861,2026-05-23,SKU-30026,Chemise popeline,17,OMG-LIL
MTX-000553,2026-03-27,SKU-30029,Casquette coton,32,OMG-LYO
MTX-001213,09-04-2025,SKU-30021,T-shirt coton uni,34,OMG-MAR
MTX-001267,31-05-2025,SKU-30028,Doudoune legere,36,OMG-LIL
MTX-000885,16-06-2025,SKU-30028,Doudoune legere,36,OMG-MAR
MTX-001145,08-10-2025,SKU-30022,Jean coupe droite,19,OMG-MAR
MTX-000202,2025-08-20,SKU-30022,Jean coupe droite,9,OMG-MAR
MTX-000779,08-05-2026,SKU-30029,Casquette coton,25,OMG-LYO
MTX-000154,17/05/2025,SKU-30023,Veste softshell,9,OMG-LYO
MTX-001317,11/05/2025,SKU-30023,Veste softshell,35,OMG-MAR
MTX-001151,23/04/2026,SKU-30027,Short de sport,15,OMG-MAR
MTX-000894,2025-01-11,SKU-30029,Casquette coton,7,OMG-LYO
MTX-000359,11-05-2025,SKU-30022,Jean coupe droite,6,OMG-LYO
MTX-000643,2026-04-18,SKU-30027,Short de sport,14,OMG-MAR
MTX-000778,06/12/2025,SKU-30027,Short de sport,7,OMG-MAR
MTX-000868,2025-06-16,SKU-30030,Robe ete,36,OMG-LIL
MTX-000426,16/05/2025,SKU-30024,Chaussettes x3,6,OMG-LIL
MTX-000303,01-08-2025,SKU-30025,Pull col rond,29,OMG-LYO
MTX-000961,10/07/2025,SKU-30026,Chemise popeline,29,OMG-LIL
MTX-000981,03-08-2025,SKU-30025,Pull col rond,8,OMG-LIL
MTX-000146,24-06-2025,SKU-30025,Pull col rond,14,OMG-LIL
MTX-000213,09-05-2026,SKU-30022,Jean coupe droite,35,OMG-LIL
MTX-000969,2026-07-24,SKU-30023,Veste softshell,34,OMG-LYO
MTX-000964,06/02/2026,SKU-30023,Veste softshell,38,OMG-MAR
MTX-000263,11-08-2025,SKU-30027,Short de sport,17,OMG-LYO
MTX-000874,29-10-2025,SKU-30025,Pull col rond,8,OMG-MAR
MTX-001029,03/05/2026,SKU-30025,Pull col rond,28,OMG-LIL
MTX-000244,2026-05-05,SKU-30026,Chemise popeline,31,OMG-LYO
MTX-000224,2026-06-13,SKU-30021,T-shirt coton uni,16,OMG-MAR
MTX-000767,30/07/2026,SKU-30030,Robe ete,26,OMG-LYO
MTX-000586,2026-04-26,SKU-30025,Pull col rond,6,OMG-MAR
MTX-000994,05/02/2025,SKU-30021,T-shirt coton uni,9,OMG-LIL
MTX-000605,2025-06-08,SKU-30023,Veste softshell,16,OMG-MAR
MTX-000972,21-12-2025,SKU-30023,Veste softshell,22,OMG-MAR
MTX-000692,20/01/2026,SKU-30023,Veste softshell,32,OMG-LYO
MTX-000981,03/08/2025,SKU-30027,Short de sport,10,OMG-LIL
MTX-000716,17/04/2026,SKU-30023,Veste softshell,5,OMG-LYO
MTX-001391,2025-09-23,SKU-30030,Robe ete,25,OMG-LIL
MTX-000943,20-09-2025,SKU-30027,Short de sport,26,OMG-LYO
MTX-000596,20-09-2025,SKU-30028,Doudoune legere,29,OMG-LIL
MTX-000182,2026-01-05,SKU-30025,Pull col rond,35,OMG-MAR
MTX-000485,2025-08-19,SKU-30030,Robe ete,14,OMG-LYO
MTX-001347,31/01/2025,SKU-30022,Jean coupe droite,29,OMG-LYO
MTX-001036,2025-05-21,SKU-30022,Jean coupe droite,7,OMG-LYO
MTX-000874,2025-10-29,SKU-30023,Veste softshell,26,OMG-MAR
MTX-000440,20-04-2026,SKU-30023,Veste softshell,19,OMG-LYO
MTX-000732,17/01/2025,SKU-30023,Veste softshell,19,OMG-MAR
MTX-000141,12-09-2025,SKU-30030,Robe ete,22,OMG-LYO
MTX-000743,07/05/2025,SKU-30025,Pull col rond,35,OMG-LIL
MTX-000412,2026-05-08,SKU-30023,Veste softshell,22,OMG-LIL
MTX-000868,2025-06-16,SKU-30022,Jean coupe droite,15,OMG-LIL
MTX-000070,15-01-2026,SKU-30030,Robe ete,5,OMG-MAR
MTX-000653,2025-05-18,SKU-30022,Jean coupe droite,1,OMG-LYO
MTX-000817,07/02/2026,SKU-30028,Doudoune legere,8,OMG-LIL
MTX-001029,03-05-2026,SKU-30025,Pull col rond,24,OMG-LIL
MTX-000620,2026-03-11,SKU-30027,Short de sport,7,OMG-LYO
MTX-000861,2026-05-23,SKU-30028,Doudoune legere,2,OMG-LIL
MTX-000324,26/08/2025,SKU-30030,Robe ete,37,OMG-MAR
MTX-001394,27/07/2026,SKU-30030,Robe ete,6,OMG-MAR
MTX-000527,27/07/2025,SKU-30026,Chemise popeline,25,OMG-LIL
MTX-000372,2026-02-09,SKU-30028,Doudoune legere,25,OMG-LYO
MTX-000317,19-01-2025,SKU-30022,Jean coupe droite,4,OMG-LYO
MTX-000412,08/05/2026,SKU-30030,Robe ete,11,OMG-LIL
MTX-000568,08-06-2026,SKU-30021,T-shirt coton uni,11,OMG-LIL
MTX-000959,04-04-2025,SKU-30028,Doudoune legere,31,OMG-MAR
MTX-000143,15-07-2026,SKU-30022,Jean coupe droite,13,OMG-MAR
MTX-000579,03-07-2026,SKU-30022,Jean coupe droite,40,OMG-LYO
MTX-000408,19/06/2026,SKU-30024,Chaussettes x3,28,OMG-LIL
MTX-000953,2026-01-26,SKU-30025,Pull col rond,29,OMG-LIL
MTX-001139,2026-05-17,SKU-30029,Casquette coton,19,OMG-LIL
MTX-000308,23-06-2026,SKU-30021,T-shirt coton uni,1,OMG-LIL
MTX-001364,08-06-2026,SKU-30029,Casquette coton,10,OMG-LIL
MTX-000617,2025-03-17,SKU-30026,Chemise popeline,17,OMG-MAR
MTX-000393,26/07/2026,SKU-30022,Jean coupe droite,18,OMG-MAR
MTX-000305,01-10-2025,SKU-30029,Casquette coton,19,OMG-LYO
MTX-000031,31/03/2025,SKU-30021,T-shirt coton uni,28,OMG-MAR
MTX-000138,2025-11-10,SKU-30026,Chemise popeline,36,OMG-LIL
MTX-000834,27-04-2026,SKU-30023,Veste softshell,30,OMG-MAR
MTX-001008,18-10-2025,SKU-30023,Veste softshell,35,OMG-LYO
MTX-000694,22-12-2025,SKU-30028,Doudoune legere,19,OMG-LIL
MTX-001121,2025-11-02,SKU-30023,Veste softshell,13,OMG-MAR
MTX-000565,20/01/2026,SKU-30028,Doudoune legere,28,OMG-LYO
MTX-000319,14-08-2025,SKU-30025,Pull col rond,29,OMG-LYO
MTX-001098,04/11/2025,SKU-30030,Robe ete,3,OMG-LIL
MTX-000859,2026-07-15,SKU-30029,Casquette coton,30,OMG-LIL
MTX-000588,19/01/2025,SKU-30024,Chaussettes x3,20,OMG-LYO
MTX-001125,2025-11-25,SKU-30026,Chemise popeline,32,OMG-LYO
MTX-000517,2025-03-08,SKU-30024,Chaussettes x3,22,OMG-MAR
MTX-000817,07-02-2026,SKU-30027,Short de sport,15,OMG-LIL
MTX-000379,2025-01-15,SKU-30029,Casquette coton,25,OMG-LYO
MTX-000762,21/05/2026,SKU-30028,Doudoune legere,9,OMG-MAR
MTX-000620,2026-03-11,SKU-30027,Short de sport,7,OMG-LYO
MTX-001229,2026-05-04,SKU-30025,Pull col rond,35,OMG-MAR
MTX-000710,06/01/2026,SKU-30023,Veste softshell,9,OMG-LIL
MTX-000962,2025-01-21,SKU-30025,Pull col rond,20,OMG-LIL
MTX-000493,2026-07-07,SKU-30023,Veste softshell,10,OMG-LYO
MTX-001300,14-06-2026,SKU-30026,Chemise popeline,4,OMG-LIL
MTX-000683,14/10/2025,SKU-30026,Chemise popeline,3,OMG-LYO
MTX-000621,21/09/2025,SKU-30028,Doudoune legere,34,OMG-LYO
MTX-001235,17/06/2025,SKU-30030,Robe ete,14,OMG-MAR
MTX-000355,2025-03-19,SKU-30027,Short de sport,13,OMG-LYO
MTX-000961,2025-07-10,SKU-30025,Pull col rond,37,OMG-LIL
MTX-001247,01-05-2026,SKU-30024,Chaussettes x3,16,OMG-LYO
MTX-000143,15-07-2026,SKU-30023,Veste softshell,16,OMG-MAR
MTX-001249,2025-07-23,SKU-30024,Chaussettes x3,34,OMG-LYO
MTX-001061,16/05/2025,SKU-30025,Pull col rond,11,OMG-MAR
MTX-000884,07/01/2025,SKU-30028,Doudoune legere,10,OMG-MAR
MTX-000862,19/06/2025,SKU-30026,Chemise popeline,5,OMG-MAR
MTX-001150,20/03/2026,SKU-30023,Veste softshell,25,OMG-MAR
MTX-000586,26/04/2026,SKU-30021,T-shirt coton uni,35,OMG-MAR
MTX-000779,2026-05-08,SKU-30027,Short de sport,14,OMG-LYO
MTX-001113,30-04-2025,SKU-30027,Short de sport,30,OMG-MAR
MTX-000317,19-01-2025,SKU-30023,Veste softshell,17,OMG-LYO
MTX-000693,20/09/2025,SKU-30025,Pull col rond,13,OMG-LIL
MTX-000767,30-07-2026,SKU-30022,Jean coupe droite,19,OMG-LYO
MTX-000079,2025-07-31,SKU-30028,Doudoune legere,19,OMG-MAR
MTX-000551,26-07-2026,SKU-30022,Jean coupe droite,36,OMG-LIL
MTX-000202,2025-08-20,SKU-30026,Chemise popeline,8,OMG-MAR
MTX-000195,18-05-2026,SKU-30025,Pull col rond,15,OMG-MAR
MTX-000102,25/04/2025,SKU-30023,Veste softshell,39,OMG-MAR
MTX-001237,16-04-2025,SKU-30029,Casquette coton,15,OMG-MAR
MTX-000412,2026-05-08,SKU-30027,Short de sport,3,OMG-LIL
MTX-000670,2025-05-31,SKU-30026,Chemise popeline,33,OMG-LYO
MTX-001064,10-10-2025,SKU-30029,Casquette coton,29,OMG-MAR
MTX-000680,19-10-2025,SKU-30028,Doudoune legere,31,OMG-LYO
MTX-000823,2025-10-28,SKU-30025,Pull col rond,20,OMG-MAR
MTX-000972,21/12/2025,SKU-30025,Pull col rond,32,OMG-MAR
MTX-000391,02-11-2025,SKU-30027,Short de sport,19,OMG-MAR
MTX-000963,2025-04-10,SKU-30024,Chaussettes x3,38,OMG-MAR
MTX-000217,12-12-2025,SKU-30022,Jean coupe droite,28,OMG-MAR
MTX-000515,09/03/2026,SKU-30026,Chemise popeline,32,OMG-LIL
MTX-001287,18/07/2026,SKU-30021,T-shirt coton uni,7,OMG-LYO
MTX-000252,2026-07-21,SKU-30022,Jean coupe droite,23,OMG-MAR
MTX-000412,08-05-2026,SKU-30027,Short de sport,33,OMG-LIL
MTX-001036,2025-05-21,SKU-30027,Short de sport,27,OMG-LYO
MTX-000740,21/07/2026,SKU-30021,T-shirt coton uni,20,OMG-LIL
MTX-000985,2026-03-16,SKU-30023,Veste softshell,33,OMG-LYO
MTX-001103,2026-01-18,SKU-30024,Chaussettes x3,15,OMG-LIL
MTX-000871,15/12/2025,SKU-30029,Casquette coton,16,OMG-LYO
